,restaurant,text,date,source,sentiment_score,sentiment
0,East Town Kitchen + Bar,"I was really worried this was going to be a bad visit because the menu had few options, staff was uninterested in us and there was not too many people on a Friday night when every other place was packed but the food more than made up for it. It was PHENOMENAL. We got the lump crab and the classic smash burger and they were above and beyond delicious!",2025-11-23T21:28:07.596Z,google,0.014492753623188406,neutral
1,East Town Kitchen + Bar,Food was terrible. Plates were never cleared. Only reason this isn’t a 1-star is because the coffee was complimentary and it actually was good for drip coffee.,2025-11-23T15:33:30.799Z,google,0.0,neutral
2,East Town Kitchen + Bar,Great beer from Taylor!,2025-11-22T20:23:23.320Z,google,0.25,positive
3,East Town Kitchen + Bar,Taylor did a great job accommodating our picky group,2025-11-22T19:35:39.134Z,google,0.1111111111111111,positive
4,East Town Kitchen + Bar,Solid selection of beers on tap!,2025-11-22T19:34:58.316Z,google,0.0,neutral
5,East Town Kitchen + Bar,Taylor was very fun and personable server! We had a great time at east town,2025-11-22T19:33:11.969Z,google,0.06666666666666667,neutral
6,East Town Kitchen + Bar,"Omg the serves Julia, Leah, and Donna are the GREATEST!! Ultimate service. Superior charisma. Best restaurant I’ve been too!!",2025-11-17T23:33:39.666Z,google,0.05,neutral
7,East Town Kitchen + Bar,"Leah took care of us.  She was amazing.  Fantastic food, great drinks.",2025-11-09T01:03:36.736Z,google,0.25,positive
8,The National Cafe,"Food is amazing, love the place. We get there early for our Table 1 at the window and enjoy the pastries and everything on the menu.",2025-12-06T13:06:31.690Z,google,0.07692307692307693,neutral
9,The National Cafe,"It’s my birthday weekend, so of course I had to treat myself... and The National Cafe never disappoints 💎✨

This place will always be one of my favorite hidden gems in the city. I’ve been doing more DoorDash lately, so it felt so good to stop in and enjoy brunch in person. The vibe is cozy, the staff is always warm and accommodating with my dietary needs, and the food? A whole vibe.

The Vegan Ultimate Breakfast Sandwich and French Toast were both chef’s kiss 👌🏾, and that mimosa? The perfect birthday touch 🥂💜

If you know, you know... The National Cafe always hits.
And since I’m in the Top 20% of Google Reviewers in the area, you can definitely trust me on this one ✨",2025-11-08T19:41:21.057Z,google,0.031746031746031744,neutral
10,The National Cafe,"Excellent breakfast! Had the burrito, was fantastic. Will be back soon.",2025-11-06T16:55:18.958Z,google,0.18181818181818182,positive
11,The National Cafe,"Loved it, food was freshly made, hot, nicely seasoned and worth waiting for. My only Gripe is ordering off a QR code, some people aren't tech savvy and tbh, it seems a bit impersonal, love to have face to face interaction.",2025-11-02T02:25:56.922Z,google,0.07142857142857142,neutral
12,The National Cafe,Great place for breakfast with plenty of vegan options,2025-10-24T17:58:04.313Z,google,0.1111111111111111,positive
13,Onesto,"Excellent food, service and atmosphere. The lamb was superb and the pasta was fresh. Would go again.",2025-12-07T17:35:19.636Z,google,0.11764705882352941,positive
14,Onesto,The presentation and taste is always great :) even when ordering delivery. Very thoughtful flavors and plating. 🥰,2025-11-29T16:31:55.980Z,google,0.0625,neutral
15,Onesto,"Business dinner party, everything was wonderdul",2025-11-21T16:34:51.255Z,google,0.0,neutral
16,Onesto,"A group of approx 10 of us stopped for a cocktail prior to a wedding at a different venue in the neighborhood. We all had $15+ cocktails and were in the bar area not more than an hour, towards the back. We were approached at least 4 times by staff that we were basically “in the way” and made to feel very unwelcome. We were not rowdy or rude. Cute place but terrible customer service, I doubt any of us will be back",2025-11-15T13:59:51.000Z,google,-0.024096385542168676,neutral
17,Onesto,"Took my girlfriend to Onesto for her birthday dinner. We started with the blood orange mule and  black cherry old fashioned. Both drinks were really good the old fashioned was strong! We then had the meat and cheese board for our appetizer. All the accoutrements were so fresh and the sweet drop peppers were something I had never tried before. For entrees I got the Gnocchi with chicken and she had the Carbonara. One of the best meals I have eaten in a long, especially since moving to Milwaukee. I would highly recommend Onesto for a date night or special occasion if you’re in the Milwaukee area! 10/10 experience from start to finish.",2025-11-11T13:00:02.850Z,google,0.0391304347826087,neutral
18,Onesto,"We just celebrated my eight-year-old son's birthday at Onesto—a restaurant he specifically chose! I've been coming here for over a decade (10+ years), and it never disappoints. Their menu is small but mighty, always featuring excellent new options that keep us coming back. The setting is ideal for any occasion, offering a choice between a lively bar/high-top section and a comfortable, quieter main dining room.",2025-11-11T10:47:15.895Z,google,0.013888888888888888,neutral
19,Easy Tyger | An Asian Gastropub,"I love this place! 😍
My youngest fell in love with Ramen and this is his favorite. This place is birthday and date night perfection. The tonkatsu is my favorite but everything is wonderful. Oshi desu",2025-12-03T16:01:59.303Z,google,0.14285714285714285,positive
20,Easy Tyger | An Asian Gastropub,Delicious ramen!,2025-10-30T02:04:02.580Z,google,0.5,positive
21,Easy Tyger | An Asian Gastropub,The Beefy Boy ramen was delicious and spicy.,2025-10-29T13:12:30.161Z,google,0.125,positive
22,Easy Tyger | An Asian Gastropub,This place has really grown on me. The miso and tonkotsu ramen options always hit the spot. And the pork bao buns are some of the best. I wish they had soju though!,2025-10-28T17:56:32.132Z,google,0.030303030303030304,neutral
23,Easy Tyger | An Asian Gastropub,"My favorite ramen in Milwaukee, I always get the beefy boy! I also like the ragoons and pot stickers.",2025-10-25T21:22:26.060Z,google,0.05263157894736842,neutral
24,Easy Tyger | An Asian Gastropub,라면에 콘옥수수가 좀 많이 들어간 느낌이지만.. 집에서 가깝고 밀워키 다운타운에서 많지 않은 아시안 음식점이라 좋아요,2025-10-20T18:08:15.424Z,google,0.0,neutral
25,Easy Tyger | An Asian Gastropub,Amazing ramen place! Great staff,2025-09-13T11:57:05.383Z,google,0.4,positive
26,La Caribeña The best Caribbean family restaurant,Muy buena atención Rosi,2025-12-07T19:52:27.257Z,google,0.0,neutral
27,La Caribeña The best Caribbean family restaurant,"Overpriced for what it is, specially the side of avocado. Tip was included in our bill as mandatory for 2 people.",2025-12-06T19:01:53.515Z,google,-0.047619047619047616,neutral
28,La Caribeña The best Caribbean family restaurant,"La comida, excelente. El servicio? Demasiado servicial, si van de verdad pregunten por Rosi que ella es un amor de persona y los va a atender como se debe.",2025-12-06T01:18:12.943Z,google,0.0,neutral
29,La Caribeña The best Caribbean family restaurant,This restaurant didn't put labels on drinks and I order the oreo for my son and the ferreor rocher for daughter because of their poor service my son was exposed to peanuts and he is allergic to nuts... They are putting peoples lives at risk. Please owner put labels on your drinks!!!!,2025-11-26T23:07:35.314Z,google,-0.018867924528301886,neutral
30,La Caribeña The best Caribbean family restaurant,Great experience!! Awesome food and the waitress (ANGELICA) was super attentive and very patient with our big group. Thank you Angelica!,2025-11-23T20:49:39.106Z,google,0.14285714285714285,positive
31,La Caribeña The best Caribbean family restaurant,Amazing. Thats all words needed,2025-11-23T20:44:54.236Z,google,0.2,positive
32,La Caribeña The best Caribbean family restaurant,Muy buena la comida y la que nos atendio super amable Angelica su nombre,2025-11-23T20:43:48.021Z,google,0.0,neutral
33,State Street Pizza Pub,It was amazing pizza and friendly service.  Will be back,2025-12-08T02:04:19.545Z,google,0.2,positive
34,State Street Pizza Pub,"10"" Thin crust pizza with sausage was really good. Beer was flat. Service started out slow but got better.",2025-11-23T14:16:47.825Z,google,0.02631578947368421,neutral
35,State Street Pizza Pub,Great pizza! We were the only ones inside on a Thursday but the food was fresh and tasty. The staff were attentive and friendly. 10/10 pizza spot!,2025-11-14T03:45:58.066Z,google,0.17857142857142858,positive
36,State Street Pizza Pub,"Stopped in here while in Milwaukee for the Brandon Lake concert.  Service was excellent and the food was delicious, including the molten cake for dessert. My son enjoyed watching the Pizza Princess robot delivering the food to each table.  Reasonably priced for being a downtown eatery.  We will be back on our next trip to Milwaukee.",2025-10-16T14:05:52.962Z,google,0.03571428571428571,neutral
37,State Street Pizza Pub,Really good food and great service! We will definitely eat here again when in the area.,2025-10-15T19:16:58.568Z,google,0.09375,neutral
38,State Street Pizza Pub,"Excellent pizza and service, complimentary parmesean without asking, with an old brick pizza parlor/bar vibes. Can't recommend this enough.",2025-10-11T18:08:14.083Z,google,0.09523809523809523,neutral
39,Screaming Tuna Milwaukee,"Overall a great experience! Eva gave us amazing service! She was friendly, attentive, and made our visit feel special. The food was great, and her positive attitude made the experience even better. Highly recommend!",2025-12-09T23:12:48.489Z,google,0.17647058823529413,positive
40,Screaming Tuna Milwaukee,Amazing service and food 10/10,2025-12-08T05:02:20.502Z,google,0.16666666666666666,positive
41,Screaming Tuna Milwaukee,Don't get the mango roll! The tomato was overpowering and it just did not taste good at all. Also was spicy despite no mention on the menu. The veggie spring rolls were just okay but also not worth the price.,2025-12-06T06:09:34.893Z,google,-0.024390243902439025,neutral
42,Screaming Tuna Milwaukee,the crispy rice tuna & lemon ginger edamame are my go to!!! never disappoints 🫶🏼,2025-11-25T02:37:43.846Z,google,0.07692307692307693,neutral
43,Screaming Tuna Milwaukee,"Gorgeous presentation! 🤩I loved the Black Angus special roll and the Boom Boom Shroom. The spicy garlic edamame was amazing. Emily our server was wonderful and even gave me extra spicy garlic sauce to take home. Finally, the dessert cannot be missed! Extraordinarily unique dessert options including Matcha Tres Leches, Fried Rice Ice Cream with famous Purple Door Ice Cream. 🍨 Sushi and so much more with a lovely view! 🌃",2025-11-18T14:38:43.379Z,google,0.043478260869565216,neutral
44,Screaming Tuna Milwaukee,"My second time. Tried a roll. It came out with just the roll, ginger and wasabi.

The wasabi nearly blinded me and burned a hole through me throat.

Half way through the roll, I was looking for my waiter because I really wanted sauce. Ended up flagging down someone clearing a table. Asked for a sauce and soy sauce. The soy was on the table. Hadn't noticed. It wasn't marked. The other sauce was an upcharge. Not mentioned, didn't know until I saw the check.

Friendly server, but poor service.

The roll was tasty. Tasted much better with the sauce. But I'll stick to my Pick n Save Monday Sushi specials.",2025-11-15T03:02:53.564Z,google,0.008695652173913044,neutral
45,Elsa's On the Park,The place is very welcoming beautiful atmosphere the food is very delicious the drinks is amazing 10/10 highly recommend it was my first time going oh my goodness I will be back time & time again! & a special thank you to my server Noah who checked on me frequently throughout the night to make sure I got serviced with everything I needed:) Me & my Bessie did a ladies date night here keep them bartenders I highly suggest the cocktails that taste was delicious,2025-12-04T17:07:35.362Z,google,0.04216867469879518,neutral
